,Date,Open,High,Low,Close,Adj Close,Volume
0,2009.2164383561644,7402.310059,7460.930176000001,7257.830078,7278.379883,7278.379883,672950000
1,2009.2246575342465,7279.25,7780.720215,7278.779785,7775.859863,7775.859863,515600000
2,2009.227397260274,7773.470215,7796.569823999999,7646.990234000001,7659.970215,7659.970215,379670000
3,2009.2301369863014,7659.810059,7863.629883,7550.060059,7749.810059,7749.810059,454090000
4,2009.2328767123288,7752.359863,7931.330078,7752.279785,7924.560059,7924.560059,397260000
5,2009.2356164383561,7922.569823999999,7922.569823999999,7735.950195,7776.180176000001,7776.180176000001,323650000
6,2009.2438356164384,7773.310059,7773.390137,7437.589844,7522.02002,7522.02002,383260000
7,2009.2465753424658,7523.77002,7725.359863,7523.450195,7608.919922,7608.919922,399840000
8,2009.2493150684932,7606.129883,7789.0,7483.870117,7761.600098000001,7761.600098000001,361340000
9,2009.2520547945205,7763.990234000001,8075.72998,7763.990234000001,7978.080078,7978.080078,442820000
10,2009.2547945205479,7980.629883,8019.5,7897.240234000001,8017.589844,8017.589844,308210000
11,2009.2630136986302,8016.160156,8016.160156,7862.200195,7975.850098000001,7975.850098000001,247400000
12,2009.2657534246575,7968.919922,7969.080078,7762.080078,7789.560059,7789.560059,276920000
13,2009.268493150685,7788.680176000001,7887.52002,7750.850098000001,7837.109863,7837.109863,255350000
14,2009.2712328767122,7839.890137,8087.279785,7839.890137,8083.379883,8083.379883,462060000
15,2009.282191780822,8082.02002,8113.410156,7963.75,8057.810059,8057.810059,424250000
16,2009.2849315068493,8057.410156,8057.410156,7902.259765999999,7920.180176000001,7920.180176000001,513010000
17,2009.2876712328766,7914.919922,8041.319823999999,7870.47998,8029.620117,8029.620117,413280000
18,2009.2904109589042,8029.140137,8168.120117,7962.709961,8125.430176000001,8125.430176000001,359470000
19,2009.2931506849316,8125.430176000001,8190.660156,8086.879883,8131.330078,8131.330078,537670000
20,2009.3013698630136,8128.939941,8128.939941,7840.450195,7841.72998,7841.72998,453660000
21,2009.304109589041,7841.72998,7979.200195,7791.950195,7969.560059,7969.560059,424030000
22,2009.3068493150686,7964.779785,8044.830078,7868.009765999999,7886.569823999999,7886.569823999999,387030000
23,2009.309589041096,7886.810059,7979.439941,7804.209961,7957.060059,7957.060059,327240000
24,2009.3123287671233,7957.450195,8127.5,7957.450195,8076.290039,8076.290039,402720000
25,2009.3205479452056,8073.819823999999,8122.560059,7987.160156,8025.0,8025.0,282990000
26,2009.323287671233,8023.560059,8091.660156,7938.97998,8016.950195,8016.950195,274710000
27,2009.3260273972603,8018.310059,8257.570313,8017.910156,8185.72998,8185.72998,300340000
28,2009.3287671232877,8188.509765999999,8307.509766,8136.899901999999,8168.120117,8168.120117,341400000
29,2009.331506849315,8167.410156,8219.80957,8099.310059,8212.410156,8212.410156,237360000
30,2009.3397260273973,8213.599609,8434.860352,8213.599609,8426.740234,8426.740234,354490000
31,2009.3424657534247,8425.549805,8458.120117,8362.780273,8410.650391,8410.650391,311490000
32,2009.345205479452,8403.480469,8518.570313,8403.0,8512.280273,8512.280273,454480000
33,2009.3479452054794,8512.280273,8577.19043,8358.0,8409.849609,8409.849609,476640000
34,2009.3506849315067,8410.730469,8587.549805,8410.730469,8574.650391,8574.650391,428420000
35,2009.358904109589,8569.230469,8569.230469,8410.330078,8418.769531,8418.769531,332630000
36,2009.3616438356164,8419.169922,8517.459961,8365.650391,8469.110352,8469.110352,334840000
37,2009.3643835616438,8461.799805,8462.040039,8262.429688,8284.889648,8284.889648,336930000
38,2009.3671232876711,8285.919922,8376.639648,8273.900391,8331.320313,8331.320313,323800000
39,2009.3698630136987,8326.219727,8394.959961,8230.169922,8268.639648,8268.639648,308820000
40,2009.3780821917808,8270.150391,8511.879883,8270.150391,8504.080078,8504.080078,288280000
41,2009.3808219178081,8502.480469,8538.009766,8463.540039,8474.849609,8474.849609,277710000
42,2009.3835616438357,8471.820313,8591.929688,8405.469727,8422.040039,8422.040039,468640000
43,2009.386301369863,8416.070313,8416.150391,8221.009766,8292.129883,8292.129883,302280000
